period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
before_2007,0005,0011,F000324,Baix Besòs i Pla de Barcelona - 08019-0411,433601.9,4587035.6,F000324NPM,Nivell piezomètric
before_2007,0005,0011,F000325,Baix Besòs i Pla de Barcelona - 08245-0011,433589.44,4588790.24,F000325NPM,Nivell piezomètric
before_2007,0005,0011,F000326,Baix Besòs i Pla de Barcelona - 08245-0009,433558.34,4588835.74,F000326NPM,Nivell piezomètric
before_2007,0005,0011,F000329,Detrític neogen del Vallès - 08279-0101,419418.3,4598362.5,F000329NPM,Nivell piezomètric
before_2007,0005,0011,F000330,Detrític neogen del Vallès - 08279-0103,419418.6,4598362.4,F000330NPM,Nivell piezomètric
before_2007,0005,0011,F000331,Detrític neogen del Vallès - 08279-0102,419415.8,4598358.1,F000331NPM,Nivell piezomètric
before_2007,0005,0011,F000332,Detrític neogen del Vallès - 08279-0104,419415.7,4598357.8,F000332NPA,Nivell piezomètric (F000332NPA)
before_2007,0005,0011,F000332,Detrític neogen del Vallès - 08279-0104,419415.7,4598357.8,F000332NPM,Nivell piezomètric (F000332NPM)
before_2007,0005,0011,F000333,Detrític neogen del Vallès - 08187-0082,425786,4601929.7,F000333NPM,Nivell piezomètric
before_2007,0005,0011,F000334,Detrític neogen del Vallès - 08187-0083,425786.6,4601929.8,F000334NPM,Nivell piezomètric
before_2007,0005,0011,F000335,Detrític neogen del Vallès - 08187-0084,425789.7,4601930.9,F000335NPM,Nivell piezomètric
before_2007,0005,0011,F000339,Detrític neogen del Vallès - 08156-0053,431062.04,4601613.68,F000339NPM,Nivell piezomètric
before_2007,0005,0011,F000340,Detrític neogen del Vallès - 08156-0054,431066.04,4601618.68,F000340NPM,Nivell piezomètric
before_2007,0005,0011,F000341,Detrític neogen del Vallès - 08156-0055,431287.64,4601512.18,F000341NPM,Nivell piezomètric
before_2007,0005,0011,F000344,Al·luvials del Vallès - 08209-0031,434612.61,4597146.44,F000344NPA,Nivell piezomètric (F000344NPA)
before_2007,0005,0011,F000345,Al·luvials del Vallès - 08156-0056,431196.24,4602030.48,F000345NPA,Nivell piezomètric (F000345NPA)
before_2007,0005,0011,F000345,Al·luvials del Vallès - 08156-0056,431196.24,4602030.48,F000345NPM,Nivell piezomètric (F000345NPM)
before_2007,0005,0011,F000348,Al·luvials del Vallès - 08156-0057,431294.04,4601906.68,F000348NPA,Nivell piezomètric (F000348NPA)
before_2007,0005,0011,F000348,Al·luvials del Vallès - 08156-0057,431294.04,4601906.68,F000348NPM,Nivell piezomètric (F000348NPM)
